id,smiles
20beta-dihydrocorticosterone,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(O)CO)CCC12
taurocholate,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
(E)-4-hydroxynon-2-enoate,CCCCCC(O)C=CC(=O)O
"3',3'-cUAMP",Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC3C(COP(=O)(O)OC2C1O)OC(n1ccc(=O)[nH]c1=O)C3O
"cyclohex-3-ene-1,2-diol",OC1C=CCCC1O
24-methylpentacosanoyl-CoA,CC(C)CCCCCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
"N-methyl-4-hydroxy-3,5-dimethoxyphenethylamine",CNCCc1cc(OC)c(O)c(OC)c1
brucine,COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43
L-tyrosinal,NC(C=O)Cc1ccc(O)cc1
1-hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phospho-L-serine,CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O
G[3'-5']pA[3'-5']pAp[3'],Nc1nc2c(ncn2C2OC(CO)C(OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3OP(=O)(O)O)C2O)c(=O)[nH]1
glutathione,NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O
2-deoxy-D-ribose,OCC1OC(O)CC1O
